Hemi_ID,Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
1,Southern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
0,Northern Hemisphere
